1,Garlic Oil - Vegetarian Capsule 500 mg,Beauty & Hygiene,Hair Oil & Serum,Sri Sri Ayurveda,220,220,4.1,summer
2,Water Bottle - Orange,"Kitchen, Garden & Pets",Water & Fridge Bottles,Mastercook,180,180,2.3,winter
3,"Brass Angle Deep - Plain, No.2",Cleaning & Household,Lamp & Lamp Oil,Trm,119,250,3.4,autumn
4,Cereal Flip Lid Container/Storage Jar - Assorted Colour,Cleaning & Household,"Laundry, Storage Baskets",Nakoda,149,176,3.7,spring
5,Creme Soft Soap - For Hands & Body,Beauty & Hygiene,Bathing Bars & Soaps,Nivea,162,162,4.4,winter
6,Germ - Removal Multipurpose Wipes,Cleaning & Household,Disinfectant Spray & Cleaners,Nature Protect,169,199,3.3,spring
7,Multani Mati,Beauty & Hygiene,Face Care,Satinance,58,58,3.6,summer
8,Hand Sanitizer - 70% Alcohol Base,Beauty & Hygiene,Hand Wash & Sanitizers,Bionova,250,250,4,autumn
9,Biotin & Collagen Volumizing Hair Shampoo + Biotin & Collagen Hair Conditioner,Beauty & Hygiene,Shampoo & Conditioner,StBotanica,1098,1098,3.5,autumn
10,"Scrub Pad - Anti- Bacterial, Regular",Cleaning & Household,"Utensil Scrub-Pad, Glove",Scotch brite,20,20,4.3,spring
11,Wheat Grass Powder - Raw,Gourmet & World Food,Flours & Pre-Mixes,NUTRASHIL,261,290,4,winter
12,Butter Cookies Gold Collection,Gourmet & World Food,"Luxury Chocolates, Gifts",Sapphire,600,600,2.2,summer
13,"Face Wash - Oil Control, Active",Beauty & Hygiene,Face Care,Oxy,110,110,5,autumn
14,Mold & Mildew Remover with Bleach,Cleaning & Household,Floor & Other Cleaners,Clorox,350,350,3.8,winter
15,Just Spray - Mosquito Repellent Room Spray,Cleaning & Household,Mosquito Repellent,Herbal Strategi,200,200,4.2,spring
16,Dove Plastic Soap Case - Assorted Colour,Cleaning & Household,Soap Cases & Dispensers,Nakoda,49,59,4,winter
17,Smooth Skin Oil - For Dry Skin,Beauty & Hygiene,Aromatherapy,Aroma Treasures,324,360,5,spring
18,Salted Pumpkin,Gourmet & World Food,Roasted Seeds & Nuts,Graminway,180,180,4.9,summer
19,Flax Seeds - Roasted,Gourmet & World Food,Roasted Seeds & Nuts,True Elements,120,120,4.3,spring
20,Organic Tofu - Soy Paneer,Gourmet & World Food,Tofu,Murginns,85.14,90,3.9,summer
21,Ceramic Barrel Brush - Colour May Vary,Beauty & Hygiene,Tools & Accessories,Bronson Professional,525,700,4.2,spring
22,Instant Noodles - Chicken Satay Flavor,Gourmet & World Food,Imported Noodles,Koka,45,50,4.1,autumn
23,Chia Seeds,"Foodgrains, Oil & Masala",Other Dry Fruits,NaturoBell,120,120,3.9,winter
24,Cleanse Green Tea - Whole Leaf Loose Tea,Gourmet & World Food,Gourmet Tea & Tea Bags,Cambridge Tea Party,75,75,3.9,spring
25,Veggie Cutter,"Kitchen, Garden & Pets",Choppers & Graters,IRICH,195,195,5,summer
26,Insulated Hot Fresh Casserole For Roti/Chapati - White,"Kitchen, Garden & Pets",Casserole,Cello,659,895,3.3,winter
27,Granola - Happy Berries,Snacks & Branded Foods,Granola & Cereal Bars,Fit & Flex,245,265,3.5,spring
28,Flaxseed - Pesticide Free,"Foodgrains, Oil & Masala",Other Dry Fruits,Safe Harvest,53.9,55,4,autumn
29,Paratha Puff,Snacks & Branded Foods,Frozen Veg Snacks,Switz,90,110,4.3,summer
30,Lip Butter - Rose,Beauty & Hygiene,Lip Care,Organic Harvest,169.15,199,1.5,winter
31,Fruit Power - Masala Sugarcane,Beverages,Juices,Real,19,20,2.9,autumn
32,Chocobakes Choc Filled Cookies,"Bakery, Cakes & Dairy","Bakery Biscuits, Cookies",Cadbury,102,120,4.2,summer
33,Amber - Deodorant Body Spray,Beauty & Hygiene,Men's Deodorants,Old Spice,211.65,249,3.4,spring
34,Green Tea - Tulsi Loose Leaf,Beverages,Green Tea,Octavius,225,225,3.7,summer
35,Pet Solitaire Container Set - Silver,"Kitchen, Garden & Pets",Containers Sets,Steelo,499,969,3.9,winter
36,Dhania - Dal,"Foodgrains, Oil & Masala",Whole Spices,bb Royal,98,120,4.1,spring
37,Pudina Chutney Masala,"Foodgrains, Oil & Masala",Blended Masalas,Catch,46.75,55,3.9,summer
38,Bodylicious Deodorant Spray - Mate (For Men),Beauty & Hygiene,Men's Deodorants,Engage,136.5,195,4.1,autumn
39,"Sport Deo Spray - Fresh, for Men",Beauty & Hygiene,Men's Deodorants,Engage,112.75,205,3.7,winter
40,Choco Deck - Mini Delights,Snacks & Branded Foods,Chocolates,Fabelle,160,200,4.4,autumn
41,Eau De Toilette - Homme Green,Beauty & Hygiene,Eau De Toilette,Colour Me,427.5,450,4.3,summer
42,Lemon & Tea Tree Oil Soap,Beauty & Hygiene,Bathing Bars & Soaps,Liril,360,360,4.2,winter
43,Flavoured Cream Wafer Roll - Strawberry,Gourmet & World Food,"Cookies, Biscotti, Wafer",Twister,275,275,4.3,autumn
44,Storage/Lunch Steel Container with PP Lid - Red,"Kitchen, Garden & Pets",Steel Lunch Boxes,Classic Essentials,109,299,2.6,spring
45,Plain Green Olives,Gourmet & World Food,"Olive, Jalapeno, Gherkin",Figaro,179,179,5,summer
46,Quinoa - Organic,"Foodgrains, Oil & Masala","Organic Rice, Other Rice",Organic Tattva,250,250,3.9,winter
47,After Shave Splash - Arctic Ice,Beauty & Hygiene,Shaving Care,Gillette,459.62,469,3.9,spring
48,Colour Catcher Sheets,Cleaning & Household,Imported Cleaners,Dylon ,799,799,4,autumn
49,Sauce - Sweet & Sour,Gourmet & World Food,Thai & Asian Sauces,Pantai,245,245,3.7,summer
50,Super Hot and Sweet Mango Chutney,Snacks & Branded Foods,Chutney Powder,Spice Story,100,125,3,autumn
51,Pani Puri Mix Paste,"Foodgrains, Oil & Masala",Cooking Pastes,Mother's Recipe,48.95,55,4.1,winter
52,Peach Syrup,Gourmet & World Food,Gourmet Juices & Drinks,Pekers,850,850,4.2,spring
53,Acne & Oil Control Face Wash,Beauty & Hygiene,Face & Body,Red Hunt,80,100,4,summer
54,Choco Deck - French Dessert Inspired Layered Bar,Snacks & Branded Foods,Chocolates,Fabelle,56,70,4,winter
55,Extra Fine Green Peas,Gourmet & World Food,Beans & Pulses,Daucy,202.5,225,4.5,autumn
56,Soothing Cucumber Facial Scrub With Apricot Seeds,Beauty & Hygiene,Face Care,TJORI,299.4,499,,spring
57,Foochka,Snacks & Branded Foods,"Papads, Ready To Fry",Shareat,60,60,3.9,summer
58,Argan-Liquid Gold Hair Spa,Beauty & Hygiene,Hair & Scalp Treatment,Aroma Treasures,199.5,210,4.4,autumn
59,"Baby Bed Protector - Sublimation Print, Pink",Baby Care,Baby Health,Quick Dry,199,199,3.7,winter
60,Corporate Planner Diary With Premium PU Leather Cover With Card Holder,Cleaning & Household,"Notebooks, Files, Folders",Prozo Plus,399,399,,spring
61,"Atta Chalan - Stainless Steel, Size- No.8","Kitchen, Garden & Pets",Kitchen Tools & Other Accessories,Kvg,149,179,3.5,summer
62,Dog Supplement - Absolute Skin + Coat Tablet,"Kitchen, Garden & Pets",Pet Meals & Treats,Drools,348.6,498,4,autumn
63,"Peanut Butter - Creamy, Super",Gourmet & World Food,"Chocolate, Peanut Spread",Happilo,209.4,349,4.3,winter
64,Sugar Free Petit Beurre - The Taste of France,Snacks & Branded Foods,"Marie, Health, Digestive",Bisk Farm,35,35,4,autumn
65,Aqua Halo Rejuvenating Conditioner,Beauty & Hygiene,Shampoo & Conditioner,Azafran,168.75,225,1,summer
66,Ayurvedic Anti-Tan Face Pack,Beauty & Hygiene,Face Care,TJORI,269.4,449,,winter
67,Dog Supplement - Absolute Calcium Tablet,"Kitchen, Garden & Pets",Pet Meals & Treats,Drools,339.15,399,3.9,autumn
68,Battery Power Kids Toothbrush - Barbie,Beauty & Hygiene,Electric Toothbrush,Colgate,374.25,499,4,spring
69,Organic Carom Seeds/Ajwain/Om Kalu,"Foodgrains, Oil & Masala",Whole Spices,Earthon,72,72,,summer
70,"Padded Harness - 3/4 inch, Grey Colour","Kitchen, Garden & Pets",Pet Collars & Leashes,Glenand,840,840,,winter
71,"Kids Motu Patlu Toothpaste - 2-5 Years, Bubble Fruit Flavour",Beauty & Hygiene,Toothpaste,Colgate,43,43,4,autumn
72,Pure & Gentle Face Wash,Beauty & Hygiene,Face Care,Pears,120,150,4.3,spring
73,Sesame Seed Oil,Beauty & Hygiene,Aromatherapy,INATUR ,210,300,3.5,summer
74,Til Dil Seeds,Gourmet & World Food,Roasted Seeds & Nuts,Mantra,70,70,3.6,winter
75,"Penta Plastic Pet Water Bottle - Green, Wide Mouth","Kitchen, Garden & Pets",Water & Fridge Bottles,BB Home,75,126,,spring
76,Acne Pimple Kit For Acne & Pimple Removal,Beauty & Hygiene,Face Care,Natures Essence,500,500,3,autumn
77,"Disposable Bamboo Wood Skewer/Picker Sticks- For Barbeque, 12 Inch","Kitchen, Garden & Pets",Kitchen Tools & Other Accessories,Bamboooz,135,299,4.3,summer
78,& Moms Bathing Soap - Jasmine,Beauty & Hygiene,Bathing Bars & Soaps,Dettol,108,120,4.6,spring
79,Amla Chatpata Dry Fruit,Gourmet & World Food,Dry Fruits & Berries,Fresho Signature,49,65,,autumn
80,"Toothbrush Superhero Assorted, Batman/Spiderman",Beauty & Hygiene,Toothbrush,Colgate,49,79,3.9,winter
81,Chips - Topica,Snacks & Branded Foods,Chips & Corn Snacks,Sanjay ,65,65,3.9,spring
82,Cup a Soup - Croutons Cream of Asparagus,Gourmet & World Food,Imported Soups,Batchelors,269.1,299,,summer
83,Organic Dal - Masoor,"Foodgrains, Oil & Masala",Organic Dals & Pulses,Pro Nature,96,96,3.9,autumn
84,Strawberry Ice Cream,Gourmet & World Food,Gourmet Ice Cream,Haagen-Dazs,225,225,,winter
85,Exo Dishwash Bar- Round 700 gm Box + Pril Dishwash Liquid- Active 2X Lime 225 ml,Cleaning & Household,Dishwash Bars & Powders,bb Combo,95,114,,spring
86,Jupiter Water/Juice Glass Tumbler,"Kitchen, Garden & Pets",Glassware,BB Home,479,629,,summer
87,"Cheese - Feta Greek, Block",Gourmet & World Food,International Cheese,Fresho Signature,695.7,773,,autumn
88,Avida 3-in-1 Semi Economy Pouch -  FG01248,Cleaning & Household,"Agarbatti, Incense Sticks",Shalimar,31.5,35,4.6,winter
89,Bathing Soap - Sandal & Turmeric,Beauty & Hygiene,Bathing Bars & Soaps,Godrej No.1,254.15,299,4.2,spring
90,Sweet Corn Kernels - Chipotle,Fruits & Vegetables,Cut & Peeled Veggies,Supa Corn,55,55,,summer
91,Ashwagandha Tablets,Beauty & Hygiene,Ayurveda,Muniyal Ayurveda,120,120,,winter
92,Hard Anodised Ezee-Pour Saucepan With Lid - L88,"Kitchen, Garden & Pets",Tawa & Sauce Pan,Hawkins Futura,864.5,910,4.6,autumn
93,Topp Up Milk - Elaichi,"Bakery, Cakes & Dairy","Flavoured, Soya Milk",Gowardhan,80.01,90,5,spring
94,Namkeen - Madras Mixture,Snacks & Branded Foods,Namkeen & Savoury Snacks,Townbus,10,10,4.1,winter
95,"Stainless Steel Storage Lunch Container - Flat, Carry Snack Pack","Kitchen, Garden & Pets",Steel Storage Containers,Ramson,129,249,1.5,summer
96,Oceans Deodorant for Men - Long Lasting & Fresh Aquatic Fragrance,Beauty & Hygiene,Men's Deodorants,Brut,179.4,299,4,spring
97,Hair Remover Spray - Foam Lemon,Beauty & Hygiene,Hair Removal,Dimples,1200,1200,,autumn
98,Mr. Magic Powder-To-Liquid Germ Protection Handwash Empty Bottle + Refill,Beauty & Hygiene,Hand Wash & Sanitizers,Godrej Protekt,32.55,35,4.4,winter
99,Frankincense Oil,Beauty & Hygiene,Aromatherapy,Organic Harvest,258.75,345,3.7,summer
100,"Wonder Diaper Pants - Xtra Large, 12-17 Kg",Baby Care,Diapers,Huggies,1266.38,1398,4,spring
